 A2 A1 A0 B2 B1 B0 | P4 P3 P2 P1 P0 |  A_dec  B_dec  P_dec | ZF EF OF
-----------------------------------------------------------------------
  0  0  0  0  0  0 |   0  0  0  0  0 |  +0  +0  +0 |  1  1  0
  0  0  0  0  0  1 |   0  0  0  0  0 |  +0  +1  +0 |  1  1  0
  0  0  0  0  1  0 |   0  0  0  0  0 |  +0  +2  +0 |  1  1  0
  0  0  0  0  1  1 |   0  0  0  0  0 |  +0  +3  +0 |  1  1  0
  0  0  0  1  0  0 |   1  0  0  0  0 |  +0  +0  +0 |  1  1  0
  0  0  0  1  0  1 |   1  0  0  0  0 |  +0  -1  +0 |  1  1  0
  0  0  0  1  1  0 |   1  0  0  0  0 |  +0  -2  +0 |  1  1  0
  0  0  0  1  1  1 |   1  0  0  0  0 |  +0  -3  +0 |  1  1  0
  0  0  1  0  0  0 |   0  0  0  0  0 |  +1  +0  +0 |  1  1  0
  0  0  1  0  0  1 |   0  0  0  0  1 |  +1  +1  +1 |  0  0  1
  0  0  1  0  1  0 |   0  0  0  1  0 |  +1  +2  +2 |  0  1  0
  0  0  1  0  1  1 |   0  0  0  1  1 |  +1  +3  +3 |  0  0  1
  0  0  1  1  0  0 |   1  0  0  0  0 |  +1  +0  +0 |  1  1  0
  0  0  1  1  0  1 |   1  0  0  0  1 |  +1  -1  -1 |  0  0  1
  0  0  1  1  1  0 |   1  0  0  1  0 |  +1  -2  -2 |  0  1  0
  0  0  1  1  1  1 |   1  0  0  1  1 |  +1  -3  -3 |  0  0  1
  0  1  0  0  0  0 |   0  0  0  0  0 |  +2  +0  +0 |  1  1  0
  0  1  0  0  0  1 |   0  0  0  1  0 |  +2  +1  +2 |  0  1  0
  0  1  0  0  1  0 |   0  0  1  0  0 |  +2  +2  +4 |  0  1  0
  0  1  0  0  1  1 |   0  0  1  1  0 |  +2  +3  +6 |  0  1  0
  0  1  0  1  0  0 |   1  0  0  0  0 |  +2  +0  +0 |  1  1  0
