 A2 A1 A0 B2 B1 B0 | R2 R1 R0 |  A_dec  B_dec  R_dec | ZF EF OF DZF
-------------------------------------------------------------------
  0  0  0  0  0  0 |  0  0  0 |  +0   +0   +0 |  1  1  0  1
  0  0  0  0  0  1 |  0  0  0 |  +0   +1   +0 |  1  1  0  0
  0  0  0  0  1  0 |  0  0  0 |  +0   +2   +0 |  1  1  0  0
  0  0  0  0  1  1 |  0  0  0 |  +0   +3   +0 |  1  1  0  0
  0  0  0  1  0  0 |  0  0  0 |  +0   +0   +0 |  1  1  0  1
  0  0  0  1  0  1 |  0  0  0 |  +0   -1   +0 |  1  1  0  0
  0  0  0  1  1  0 |  0  0  0 |  +0   -2   +0 |  1  1  0  0
  0  0  0  1  1  1 |  0  0  0 |  +0   -3   +0 |  1  1  0  0
  0  0  1  0  0  0 |  0  0  0 |  +1   +0   +0 |  1  1  0  1
  0  0  1  0  0  1 |  0  0  0 |  +1   +1   +0 |  1  1  0  0
  0  0  1  0  1  0 |  0  0  1 |  +1   +2   +1 |  0  0  1  0
  0  0  1  0  1  1 |  0  0  1 |  +1   +3   +1 |  0  0  1  0
  0  0  1  1  0  0 |  0  0  0 |  +1   +0   +0 |  1  1  0  1
  0  0  1  1  0  1 |  0  0  0 |  +1   -1   +0 |  1  1  0  0
  0  0  1  1  1  0 |  0  0  1 |  +1   -2   +1 |  0  0  1  0
  0  0  1  1  1  1 |  0  0  1 |  +1   -3   +1 |  0  0  1  0
  0  1  0  0  0  0 |  0  0  0 |  +2   +0   +0 |  1  1  0  1
  0  1  0  0  0  1 |  0  0  0 |  +2   +1   +0 |  1  1  0  0
  0  1  0  0  1  0 |  0  0  0 |  +2   +2   +0 |  1  1  0  0
  0  1  0  0  1  1 |  0  1  0 |  +2   +3   +2 |  0  1  0  0
  0  1  0  1  0  0 |  0  0  0 |  +2   +0   +0 |  1  1  0  1
  0  1  0  1  0  1 |  0  0  0 |  +2   -1   +0 |  1  1  0  0
  0  1  0  1  1  0 |  0  0  0 |  +2   -2   +0 |  1  1  0  0
  0  1  0  1  1  1 |  0  1  0 |  +2   -3   +2 |  0  1  0  0
  0  1  1  0  0  0 |  0  0  0 |  +3   +0   +0 |  1  1  0  1
  0  1  1  0  0  1 |  0  0  0 |  +3   +1   +0 |  1  1  0  0
  0  1  1  0  1  0 |  0  0  1 |  +3   +2   +1 |  0  0  1  0
  0  1  1  0  1  1 |  0  0  0 |  +3   +3   +0 |  1  1  0  0
  0  1  1  1  0  0 |  0  0  0 |  +3   +0   +0 |  1  1  0  1
  0  1  1  1  0  1 |  0  0  0 |  +3   -1   +0 |  1  1  0  0
  0  1  1  1  1  0 |  0  0  1 |  +3   -2   +1 |  0  0  1  0
  0  1  1  1  1  1 |  0  0  0 |  +3   -3   +0 |  1  1  0  0
  1  0  0  0  0  0 |  0  0  0 |  +0   +0   +0 |  1  1  0  1
  1  0  0  0  0  1 |  0  0  0 |  +0   +1   +0 |  1  1  0  0
  1  0  0  0  1  0 |  0  0  0 |  +0   +2   +0 |  1  1  0  0
  1  0  0  0  1  1 |  0  0  0 |  +0   +3   +0 |  1  1  0  0
  1  0  0  1  0  0 |  0  0  0 |  +0   +0   +0 |  1  1  0  1
  1  0  0  1  0  1 |  0  0  0 |  +0   -1   +0 |  1  1  0  0
  1  0  0  1  1  0 |  0  0  0 |  +0   -2   +0 |  1  1  0  0
  1  0  0  1  1  1 |  0  0  0 |  +0   -3   +0 |  1  1  0  0
  1  0  1  0  0  0 |  0  0  0 |  -1   +0   +0 |  1  1  0  1
  1  0  1  0  0  1 |  0  0  0 |  -1   +1   +0 |  1  1  0  0
  1  0  1  0  1  0 |  0  0  1 |  -1   +2   +1 |  0  0  1  0
  1  0  1  0  1  1 |  0  0  1 |  -1   +3   +1 |  0  0  1  0
  1  0  1  1  0  0 |  0  0  0 |  -1   +0   +0 |  1  1  0  1
  1  0  1  1  0  1 |  0  0  0 |  -1   -1   +0 |  1  1  0  0
  1  0  1  1  1  0 |  0  0  1 |  -1   -2   +1 |  0  0  1  0
  1  0  1  1  1  1 |  0  0  1 |  -1   -3   +1 |  0  0  1  0
  1  1  0  0  0  0 |  0  0  0 |  -2   +0   +0 |  1  1  0  1
  1  1  0  0  0  1 |  0  0  0 |  -2   +1   +0 |  1  1  0  0
  1  1  0  0  1  0 |  0  0  0 |  -2   +2   +0 |  1  1  0  0
  1  1  0  0  1  1 |  0  1  0 |  -2   +3   +2 |  0  1  0  0
  1  1  0  1  0  0 |  0  0  0 |  -2   +0   +0 |  1  1  0  1
  1  1  0  1  0  1 |  0  0  0 |  -2   -1   +0 |  1  1  0  0
  1  1  0  1  1  0 |  0  0  0 |  -2   -2   +0 |  1  1  0  0
  1  1  0  1  1  1 |  0  1  0 |  -2   -3   +2 |  0  1  0  0
  1  1  1  0  0  0 |  0  0  0 |  -3   +0   +0 |  1  1  0  1
  1  1  1  0  0  1 |  0  0  0 |  -3   +1   +0 |  1  1  0  0
  1  1  1  0  1  0 |  0  0  1 |  -3   +2   +1 |  0  0  1  0
  1  1  1  0  1  1 |  0  0  0 |  -3   +3   +0 |  1  1  0  0
  1  1  1  1  0  0 |  0  0  0 |  -3   +0   +0 |  1  1  0  1
  1  1  1  1  0  1 |  0  0  0 |  -3   -1   +0 |  1  1  0  0
  1  1  1  1  1  0 |  0  0  1 |  -3   -2   +1 |  0  0  1  0
  1  1  1  1  1  1 |  0  0  0 |  -3   -3   +0 |  1  1  0  0
